date,부가가치세
2023-03-22,17.51303
2023-03-23,16.1228
2023-03-24,15.94902
2023-03-25,7.14423
2023-03-26,7.72349
2023-03-27,16.85653
2023-03-28,16.87584
2023-03-29,18.26607
2023-03-30,18.28538
2023-03-31,18.01506
2023-04-01,8.20621
2023-04-02,45.16315
2023-04-03,69.39563
2023-04-04,32.88279
2023-04-05,31.74357
2023-04-06,42.71094
2023-04-07,46.45684
2023-04-08,14.44294
2023-04-09,13.28441
2023-04-10,43.19366
2023-04-11,37.7679
2023-04-12,31.5891
2023-04-13,28.09422
2023-04-14,22.64916
2023-04-15,11.73971
2023-04-16,11.12183
2023-04-17,31.53118
2023-04-18,28.40316
2023-04-19,28.36454
2023-04-20,30.06371
2023-04-21,25.54547
2023-04-22,13.38096
2023-04-23,11.43077
2023-04-24,36.39698
2023-04-25,39.40915
2023-04-26,22.9581
2023-04-27,20.23556
2023-04-28,17.84128
2023-04-29,8.80478
2023-04-30,7.89727
2023-05-01,14.63603
2023-05-02,22.06989
2023-05-03,20.44796
2023-05-04,20.37072
2023-05-05,8.66962
2023-05-06,7.91658
2023-05-07,8.97856
2023-05-08,20.85344
2023-05-09,21.83819
2023-05-10,24.7345
2023-05-11,21.22031
2023-05-12,18.01506
2023-05-13,8.09036
2023-05-14,7.78142
2023-05-15,21.97335
2023-05-16,22.18575
2023-05-17,18.9998
2023-05-18,19.17358
2023-05-19,16.95307
2023-05-20,8.24483
2023-05-21,8.55377
2023-05-22,20.13902
2023-05-23,20.00386
2023-05-24,21.23962
