date,환테크
2022-11-09,8.97927
2022-11-10,6.21642
2022-11-11,9.28626
2022-11-12,3.76055
2022-11-13,3.53031
2022-11-14,8.74904
2022-11-15,8.28856
2022-11-16,6.60015
2022-11-17,8.74904
2022-11-18,5.6792
2022-11-19,3.53031
2022-11-20,3.30007
2022-11-21,5.60245
2022-11-22,6.44666
2022-11-23,5.90943
2022-11-24,4.75825
2022-11-25,3.83729
2022-11-26,2.45587
2022-11-27,3.53031
2022-11-28,5.21872
2022-11-29,5.14198
2022-11-30,5.60245
2022-12-01,6.21642
2022-12-02,4.14428
2022-12-03,2.14888
2022-12-04,3.06983
2022-12-05,5.06523
2022-12-06,4.83499
2022-12-07,3.37682
2022-12-08,4.14428
2022-12-09,4.29777
2022-12-10,3.06983
2022-12-11,3.91404
2022-12-12,3.60706
2022-12-13,4.06753
2022-12-14,4.98848
2022-12-15,3.83729
2022-12-16,3.76055
2022-12-17,2.45587
2022-12-18,5.98618
2022-12-19,6.36991
2022-12-20,8.28856
2022-12-21,6.06293
2022-12-22,6.5234
2022-12-23,5.29547
2022-12-24,4.06753
2022-12-25,1.99539
2022-12-26,5.37221
2022-12-27,5.60245
2022-12-28,6.21642
2022-12-29,6.21642
2022-12-30,3.99079
2022-12-31,2.8396
2023-01-01,3.99079
2023-01-02,6.06293
2023-01-03,5.98618
2023-01-04,5.44896
2023-01-05,5.06523
2023-01-06,6.75364
2023-01-07,5.98618
2023-01-08,3.30007
2023-01-09,7.5211
2023-01-10,6.83039
2023-01-11,7.44435
2023-01-12,5.21872
2023-01-13,7.29086
2023-01-14,3.83729
2023-01-15,5.44896
2023-01-16,7.44435
2023-01-17,7.13737
2023-01-18,7.36761
2023-01-19,5.21872
2023-01-20,6.75364
2023-01-21,1.8419
2023-01-22,2.76285
2023-01-23,3.14658
2023-01-24,4.98848
2023-01-25,8.21181
2023-01-26,6.83039
2023-01-27,4.52801
2023-01-28,3.37682
2023-01-29,3.37682
2023-01-30,6.5234
2023-01-31,10.28396
2023-02-01,8.28856
2023-02-02,7.59785
2023-02-03,7.67459
